ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;VENDAS
1990;JAN;REGIÃO NORDESTE;MARANHÃO;ETANOL HIDRATADO;7578,939
1990;JUL;REGIÃO CENTRO-OESTE;GOIÁS;ETANOL HIDRATADO;24462,251
1990;JUN;REGIÃO CENTRO-OESTE;GOIÁS;ETANOL HIDRATADO;25005,954
1990;MAI;REGIÃO CENTRO-OESTE;GOIÁS;ETANOL HIDRATADO;18888,239
1990;ABR;REGIÃO CENTRO-OESTE;GOIÁS;ETANOL HIDRATADO;27535,918
1990;MAR;REGIÃO CENTRO-OESTE;GOIÁS;ETANOL HIDRATADO;20827,344
1990;SET;REGIÃO CENTRO-OESTE;DISTRITO FEDERAL;ETANOL HIDRATADO;20544,692
1990;OUT;REGIÃO CENTRO-OESTE;DISTRITO FEDERAL;ETANOL HIDRATADO;15368,064
1990;AGO;REGIÃO CENTRO-OESTE;GOIÁS;ETANOL HIDRATADO;23198,394
1990;NOV;REGIÃO CENTRO-OESTE;DISTRITO FEDERAL;ETANOL HIDRATADO;34415,728
1990;DEZ;REGIÃO CENTRO-OESTE;MATO GROSSO;ETANOL HIDRATADO;14948,126
1990;JUL;REGIÃO SUL;SANTA CATARINA;ETANOL HIDRATADO;34791,806
1990;MAI;REGIÃO SUL;RIO GRANDE DO SUL;ETANOL HIDRATADO;41067,643
1990;JAN;REGIÃO CENTRO-OESTE;MATO GROSSO DO SUL;ETANOL HIDRATADO;15539,451
1990;DEZ;REGIÃO SUL;RIO GRANDE DO SUL;ETANOL HIDRATADO;57317,174
1990;NOV;REGIÃO SUL;RIO GRANDE DO SUL;ETANOL HIDRATADO;53499,206
1990;OUT;REGIÃO SUL;RIO GRANDE DO SUL;ETANOL HIDRATADO;47092,445
1990;FEV;REGIÃO CENTRO-OESTE;GOIÁS;ETANOL HIDRATADO;21750,741
1990;SET;REGIÃO CENTRO-OESTE;GOIÁS;ETANOL HIDRATADO;25790,305
1990;OUT;REGIÃO CENTRO-OESTE;GOIÁS;ETANOL HIDRATADO;22112,14
1990;JAN;REGIÃO CENTRO-OESTE;GOIÁS;ETANOL HIDRATADO;29876,051
